project,age_days,end_exclusive,releases,issues,bug_label_now,update_upgrade_bug_title_now
OpenClaw,0,2025-11-24,0,0,0,0
OpenClaw,30,2025-12-24,9,28,3,0
OpenClaw,60,2026-01-23,29,496,269,5
OpenClaw,90,2026-02-22,46,10628,4784,141
OpenClaw,120,2026-03-24,60,22012,7646,272
OpenClaw,150,2026-04-23,76,30559,9644,397
OpenClaw,180,2026-05-23,94,37212,11039,505
OpenClaw,210,2026-06-22,103,40304,11594,537
OpenClaw,240,2026-07-22,106,44462,12350,564
OpenClaw,270,2026-08-21,110,47745,13159,595
OpenClaw,285,2026-09-05,113,51140,14315,641
Pi,0,2025-08-09,0,0,0,0
Pi,30,2025-09-08,0,0,0,0
Pi,60,2025-10-08,0,0,0,0
Pi,90,2025-11-07,0,0,0,0
Pi,120,2025-12-07,17,85,1,0
Pi,150,2026-01-06,91,225,16,0
Pi,180,2026-02-05,141,566,81,2
Pi,210,2026-03-07,167,785,142,3
Pi,240,2026-04-06,185,1407,328,6
Pi,270,2026-05-06,212,2383,693,18
Pi,285,2026-05-21,220,2825,864,34
Pi,300,2026-06-05,226,3217,1004,43
Pi,330,2026-07-05,241,3855,1203,51
Pi,360,2026-08-04,252,4684,1415,60
Pi,390,2026-09-03,257,5688,1636,68
Pi,392,2026-09-05,258,5777,1655,68
